Food_ID,Food_Name,Quantity,Expiry_Date,Provider_ID,Provider_Type,Location,Food_Type,Meal_Type
1,Bread,43,00:00.0,110,Grocery Store,South Kellyville,Vegan,Breakfast
2,Soup,22,00:00.0,791,Grocery Store,West James,Non-Vegetarian,Dinner
3,Fruits,46,00:00.0,478,Catering Service,Lake Regina,Vegan,Breakfast
4,Fruits,15,00:00.0,930,Restaurant,Kellytown,Vegan,Lunch
5,Soup,14,00:00.0,279,Restaurant,Garciaport,Vegan,Dinner
6,Vegetables,4,00:00.0,378,Supermarket,South Johnshire,Vegan,Snacks
7,Dairy,29,00:00.0,268,Grocery Store,Nolanmouth,Vegetarian,Dinner
8,Rice,49,00:00.0,343,Catering Service,South Christopherborough,Vegan,Lunch
9,Bread,46,00:00.0,47,Supermarket,East Andrewland,Vegan,Snacks
10,Rice,41,00:00.0,528,Supermarket,Markport,Vegan,Dinner
11,Pasta,39,00:00.0,96,Grocery Store,Deborahland,Vegetarian,Breakfast
12,Pasta,15,00:00.0,899,Catering Service,North Steven,Vegetarian,Lunch
13,Fruits,33,00:00.0,115,Grocery Store,Floresville,Vegan,Snacks
14,Bread,19,00:00.0,621,Supermarket,Sarahland,Vegan,Dinner
15,Salad,3,00:00.0,74,Catering Service,Belindaville,Vegan,Breakfast
16,Dairy,6,00:00.0,862,Grocery Store,East Tammy,Vegetarian,Snacks
17,Chicken,42,00:00.0,417,Restaurant,East Ashleyshire,Non-Vegetarian,Snacks
18,Soup,28,00:00.0,455,Catering Service,Madisonfort,Vegan,Snacks
19,Rice,13,00:00.0,419,Supermarket,Port Peter,Vegan,Breakfast
20,Pasta,41,00:00.0,306,Catering Service,North Keith,Vegetarian,Snacks
21,Rice,38,00:00.0,277,Catering Service,West Aliciabury,Vegan,Dinner
22,Chicken,46,00:00.0,892,Grocery Store,Russellfurt,Non-Vegetarian,Snacks
23,Salad,43,00:00.0,1,Supermarket,New Jessica,Vegan,Dinner
24,Bread,20,00:00.0,897,Catering Service,Villastad,Vegan,Lunch
25,Rice,48,00:00.0,898,Restaurant,Medinatown,Vegan,Breakfast
26,Vegetables,34,00:00.0,95,Supermarket,Christinaland,Vegan,Dinner
27,Salad,12,00:00.0,262,Supermarket,New Carol,Vegan,Breakfast
28,Chicken,5,00:00.0,606,Grocery Store,North Nathan,Non-Vegetarian,Dinner
29,Bread,18,00:00.0,196,Restaurant,Bartonborough,Vegan,Lunch
30,Soup,4,00:00.0,616,Restaurant,Clarkberg,Vegetarian,Dinner
31,Bread,42,00:00.0,535,Grocery Store,Valdezborough,Vegan,Snacks
32,Rice,27,00:00.0,611,Supermarket,Port Kendraborough,Vegan,Lunch
33,Salad,9,00:00.0,798,Grocery Store,North Amanda,Vegan,Breakfast
34,Bread,3,00:00.0,396,Catering Service,Heatherside,Vegan,Breakfast
35,Rice,6,00:00.0,108,Supermarket,East Austin,Vegan,Breakfast
36,Rice,35,00:00.0,1,Supermarket,New Jessica,Vegan,Breakfast
37,Fish,19,00:00.0,389,Grocery Store,Davidborough,Non-Vegetarian,Dinner
38,Bread,48,00:00.0,440,Grocery Store,Elliottberg,Vegan,Snacks
39,Bread,48,00:00.0,758,Catering Service,Port Patrick,Vegan,Breakfast
40,Fruits,12,00:00.0,965,Restaurant,Port Bryce,Vegan,Breakfast
41,Chicken,14,00:00.0,450,Catering Service,Grahamside,Non-Vegetarian,Dinner
42,Rice,50,00:00.0,179,Supermarket,North Michelle,Vegan,Lunch
43,Pasta,44,00:00.0,29,Grocery Store,Patrickmouth,Vegetarian,Lunch
44,Bread,39,00:00.0,290,Supermarket,Bradleyport,Vegan,Snacks
45,Fish,17,00:00.0,874,Catering Service,Priceland,Non-Vegetarian,Lunch
46,Pasta,25,00:00.0,576,Catering Service,East Emilyburgh,Vegetarian,Breakfast
47,Salad,3,00:00.0,420,Catering Service,Anthonyton,Vegan,Snacks
48,Rice,30,00:00.0,150,Grocery Store,North Jamesberg,Vegan,Breakfast
49,Fish,41,00:00.0,700,Supermarket,Morriston,Non-Vegetarian,Dinner
50,Salad,28,00:00.0,514,Supermarket,Maxwellburgh,Vegan,Dinner
51,Dairy,14,00:00.0,828,Catering Service,Torresshire,Vegetarian,Snacks
52,Vegetables,23,00:00.0,460,Grocery Store,Lake Justin,Vegan,Snacks
53,Fruits,13,00:00.0,174,Grocery Store,North Carolfurt,Vegan,Lunch
54,Soup,15,00:00.0,368,Grocery Store,North Lindseychester,Non-Vegetarian,Snacks
55,Vegetables,19,00:00.0,967,Grocery Store,Coleburgh,Vegan,Breakfast
56,Vegetables,9,00:00.0,125,Supermarket,Lake April,Vegan,Lunch
57,Chicken,23,00:00.0,977,Restaurant,South Jessicachester,Non-Vegetarian,Dinner
58,Pasta,39,00:00.0,270,Catering Service,Cunninghambury,Vegetarian,Lunch
59,Vegetables,38,00:00.0,251,Restaurant,East Terrancemouth,Vegan,Snacks
60,Pasta,49,00:00.0,153,Restaurant,Hawkinsmouth,Vegetarian,Breakfast
61,Fruits,33,00:00.0,243,Catering Service,West Catherine,Vegan,Lunch
62,Rice,21,00:00.0,520,Catering Service,Port Andre,Vegan,Breakfast
63,Salad,6,00:00.0,335,Grocery Store,North Gary,Vegan,Dinner
